Number,date,day,month,opponent,win_loss,runs,runs_allowed,innings,rank,games_behind_raw,day_night_raw,attendance,home,win_total,loss_total,win_percentage,streak,game_duration,games_behind,google_trends,distance,avg_run,avg_run_allowed,avg_inning,avg_duration,temperature
2,"Wednesday, Apr 6 2016",Wednesday,Apr,WSN,L,1,3,9,3,2,N,"18,531",1,0,2,0,-2,173,-2,21,638.6,2.5,1.1,9.1,176.5,17.9
3,"Friday, Apr 8 2016",Friday,Apr,STL,L,4,7,9,4,2,N,"24,824",1,0,3,0,-3,180,-2,21,554.9,2.4,1.3,9.1,176.1,22.7
4,"Saturday, Apr 9 2016",Saturday,Apr,STL,L,2,12,9,5,2.5,N,"33,471",1,0,4,0,-4,210,-2.5,21,554.9,2.6,1.9,9.1,176.5,28.5
5,"Sunday, Apr 10 2016",Sunday,Apr,STL,L,7,12,9,5,3.5,D,"23,214",1,0,5,0,-5,235,-3.5,19,554.9,2.6,3,9.1,177.1,27.1
6,"Tuesday, Apr 19 2016",Tuesday,Apr,LAD,W,8,1,9,5,6,N,"14,160",1,4,9,0.307692308,4,177,-6,18,2182.4,3.1,4.1,9.1,183,24.9
7,"Wednesday, Apr 20 2016",Wednesday,Apr,LAD,L,3,5,10,5,7,N,"16,087",1,4,10,0.285714286,-1,234,-7,18,2182.4,3.7,4.2,9.1,182.7,27.2
8,"Thursday, Apr 21 2016",Thursday,Apr,LAD,L,1,2,10,5,7,D,"18,431",1,4,11,0.266666667,-2,208,-7,18,2182.4,4,4.4,9.2,187.6,26.2
9,"Friday, Apr 22 2016",Friday,Apr,NYM,L,3,6,9,5,8,N,"21,173",1,4,12,0.25,-3,201,-8,18,864.2,3.7,4.6,9.3,193.2,26.2
10,"Saturday, Apr 23 2016",Saturday,Apr,NYM,L,2,8,9,5,9,N,"35,230",1,4,13,0.235294118,-4,180,-9,18,864.2,3.4,5.2,9.3,200.3,15.8
11,"Sunday, Apr 24 2016",Sunday,Apr,NYM,L,2,3,9,5,10,D,"32,085",1,4,14,0.222222222,-5,176,-10,15,864.2,3.4,6,9.3,200.1,19.4
12,"Monday, Apr 25 2016",Monday,Apr,BOS,L,0,1,9,5,10.5,N,"22,735",1,4,15,0.210526316,-6,175,-10.5,15,1077,3.3,5.9,9.2,197.4,21.2
13,"Tuesday, Apr 26 2016",Tuesday,Apr,BOS,L,4,11,9,5,10.5,N,"23,487",1,4,16,0.2,-7,172,-10.5,15,1077,3.2,5.7,9.2,197.6,25.7
14,"Friday, May 6 2016",Friday,May,ARI,L,2,7,9,5,11.5,N,"23,514",1,7,21,0.25,-2,198,-11.5,12,1845.6,3.2,6.1,9.2,196.8,24.7
15,"Saturday, May 7 2016",Saturday,May,ARI,L,2,4,9,5,11.5,N,"22,178",1,7,22,0.24137931,-3,197,-11.5,12,1845.6,3.2,5.6,9.2,195.6,27.5
16,"Sunday, May 8 2016",Sunday,May,ARI,L,3,5,11,5,12,D,"17,106",1,7,23,0.233333333,-4,228,-12,13,1845.6,2.7,4.8,9.2,191.8,21.4
17,"Tuesday, May 10 2016",Tuesday,May,PHI,L,2,3,9,5,12.5,N,"14,490",1,7,24,0.225806452,-5,153,-12.5,13,778.3,2.2,5.2,9.4,196.9,21.8
18,"Wednesday, May 11 2016",Wednesday,May,PHI,W,5,1,9,5,12.5,N,"13,760",1,8,24,0.25,1,140,-12.5,13,778.3,2.1,5,9.3,188.8,26.7
19,"Thursday, May 12 2016",Thursday,May,PHI,L,4,7,10,5,12.5,N,"15,643",1,8,25,0.242424242,-1,194,-12.5,13,778.3,2.5,4.9,9.2,182,26.4
20,"Tuesday, May 24 2016",Tuesday,May,MIL,L,1,2,9,5,15,N,"15,185",1,12,32,0.272727273,-2,188,-15,14,813.9,2.6,5,9.3,181.3,26.7
21,"Wednesday, May 25 2016",Wednesday,May,MIL,L,2,3,13,5,15,N,"12,869",1,12,33,0.266666667,-3,291,-15,14,813.9,2.5,4.4,9.3,182.1,27.6
22,"Thursday, May 26 2016",Thursday,May,MIL,L,2,6,9,5,16,N,"14,885",1,12,34,0.260869565,-4,185,-16,14,813.9,2.5,4.4,9.7,193.6,28.8
23,"Friday, May 27 2016",Friday,May,MIA,W,4,2,9,5,15,N,"19,325",1,13,34,0.276595745,1,193,-15,14,662.5,2.7,4.9,9.7,194.6,28.9
24,"Saturday, May 28 2016",Saturday,May,MIA,W,7,2,9,5,14,D,"33,879",1,14,34,0.291666667,2,195,-14,14,662.5,2.7,4,9.7,196.7,25.4
26,"Monday, May 30 2016",Monday,May,SFG,W,5,3,9,5,15,D,"23,147",1,15,35,0.3,1,157,-15,15,2473.4,3.3,3.8,9.7,196.5,28.2
27,"Tuesday, May 31 2016",Tuesday,May,SFG,L,0,4,9,5,16,N,"15,723",1,15,36,0.294117647,-1,149,-16,15,2473.4,3.5,3.6,9.5,189.4,24.1
28,"Wednesday, Jun 1 2016",Wednesday,Jun,SFG,W-wo,5,4,11,5,16,N,"15,107",1,16,36,0.307692308,1,218,-16,15,2473.4,3.3,3.7,9.5,189,22.2
29,"Thursday, Jun 2 2016",Thursday,Jun,SFG,L,0,6,9,5,16.5,D,"15,983",1,16,37,0.301886792,-1,169,-16.5,15,2473.4,3.3,4,9.7,196.8,25.6
30,"Friday, Jun 10 2016",Friday,Jun,CHC,W,5,1,9,5,18.5,N,"30,547",1,18,42,0.3,2,171,-18.5,14,719.6,2.9,3.9,9.6,194.3,9.1
31,"Saturday, Jun 11 2016",Saturday,Jun,CHC,L,2,8,9,5,19.5,D,"43,114",1,18,43,0.295081967,-1,165,-19.5,14,719.6,3.3,3.8,9.6,192.6,13.9
32,"Sunday, Jun 12 2016",Sunday,Jun,CHC,L,2,13,9,5,20.5,D,"31,625",1,18,44,0.290322581,-2,222,-20.5,14,719.6,3.3,4.3,9.2,180,16.4
33,"Monday, Jun 13 2016",Monday,Jun,CIN,L,8,9,9,5,21.5,N,"13,198",1,18,45,0.285714286,-3,202,-21.5,14,460.7,3.3,5,9.2,183.7,26.1
34,"Tuesday, Jun 14 2016",Tuesday,Jun,CIN,L,1,3,9,5,21.5,N,"13,176",1,18,46,0.28125,-4,178,-21.5,14,460.7,3.7,5.7,9.2,184.6,26.3
35,"Wednesday, Jun 15 2016",Wednesday,Jun,CIN,W-wo,9,8,13,5,21.5,N,"14,953",1,19,46,0.292307692,1,318,-21.5,14,460.7,3.1,5.8,9.2,182.9,26.3
36,"Thursday, Jun 16 2016",Thursday,Jun,CIN,W,7,2,9,5,21.5,D,"21,885",1,20,46,0.303030303,2,176,-21.5,14,460.7,3.7,5.9,9.6,194.9,29.6
37,"Thursday, Jun 23 2016",Thursday,Jun,NYM,W,4,3,9,5,17.5,N,"22,324",1,25,47,0.347222222,1,174,-17.5,15,864.2,3.9,5.8,9.6,196.8,28.3
38,"Friday, Jun 24 2016",Friday,Jun,NYM,L,6,8,9,5,17.5,N,"25,565",1,25,48,0.342465753,-1,175,-17.5,15,864.2,4.3,5.7,9.6,199.3,25.7
39,"Saturday, Jun 25 2016",Saturday,Jun,NYM,L,0,1,11,5,17.5,N,"40,879",1,25,49,0.337837838,-2,199,-17.5,15,864.2,4.4,6.1,9.4,195,27.4
40,"Sunday, Jun 26 2016",Sunday,Jun,NYM,W,5,2,9,5,17.5,D,"20,484",1,26,49,0.346666667,1,159,-17.5,17,864.2,4.4,5.6,9.6,198,27.7
41,"Monday, Jun 27 2016",Monday,Jun,CLE,L,3,8,9,5,18.5,N,"15,538",1,26,50,0.342105263,-1,195,-18.5,17,711,4.4,5.7,9.6,196.8,26.2
42,"Tuesday, Jun 28 2016",Tuesday,Jun,CLE,L,3,5,9,5,19.5,N,"19,206",1,26,51,0.337662338,-2,160,-19.5,17,711,4.5,5.7,9.6,199.8,28
43,"Wednesday, Jun 29 2016",Wednesday,Jun,CLE,L,0,3,9,5,20.5,N,"16,600",1,26,52,0.333333333,-3,171,-20.5,17,711,4.6,4.9,9.6,193.6,27.9
44,"Thursday, Jun 30 2016",Thursday,Jun,MIA,W,8,5,9,5,20.5,N,"16,097",1,27,52,0.341772152,1,213,-20.5,17,662.5,3.8,4.3,9.6,190.5,25.3
45,"Friday, Jul 1 2016",Friday,Jul,MIA,L,5,7,12,5,21.5,N,"32,036",1,27,53,0.3375,-1,245,-21.5,17,662.5,4.5,4.5,9.6,194,26.6
46,"Saturday, Jul 2 2016",Saturday,Jul,MIA,W,9,1,9,5,20.5,D,"23,448",1,28,53,0.345679012,1,148,-20.5,17,662.5,4.1,4.4,9.5,186.7,27.4
47,"Sunday, Jul 3 2016",Sunday,Jul,MIA,L,2,5,9,5,21.5,N,"12,582",1,28,54,0.341463415,-1,179,-21.5,14,662.5,4.3,4.3,9.5,183.9,24.8
48,"Friday, Jul 15 2016",Friday,Jul,COL,L,2,11,9,5,23.5,N,"27,236",1,31,59,0.344444444,-1,208,-23.5,10,1402.6,4.1,4.5,9.5,184.4,26
49,"Saturday, Jul 16 2016",Saturday,Jul,COL,L,3,4,9,5,24.5,N,"28,393",1,31,60,0.340659341,-2,182,-24.5,10,1402.6,3.7,4.8,9.5,187.7,25.8
50,"Sunday, Jul 17 2016",Sunday,Jul,COL,W-wo,1,0,9,5,23.5,D,"18,873",1,32,60,0.347826087,1,202,-23.5,12,1402.6,4,5.1,9.3,186,26.6
51,"Thursday, Jul 28 2016",Thursday,Jul,PHI,L,5,7,9,5,25,N,"22,785",1,35,67,0.343137255,-1,205,-25,13,778.3,3.6,4.9,9.3,190.3,26.4
52,"Friday, Jul 29 2016",Friday,Jul,PHI,W,2,1,9,5,25,N,"27,732",1,36,67,0.349514563,1,163,-25,13,778.3,3.8,4.8,9.3,191.3,27.1
53,"Saturday, Jul 30 2016",Saturday,Jul,PHI,L,5,9,9,5,25,N,"38,236",1,36,68,0.346153846,-1,220,-25,13,778.3,3.7,4.4,9.3,191.6,27.5
54,"Sunday, Jul 31 2016",Sunday,Jul,PHI,W,2,1,9,5,24,D,"21,545",1,37,68,0.352380952,1,163,-24,15,778.3,4.2,5,9.3,196.5,27.8
55,"Tuesday, Aug 2 2016",Tuesday,Aug,PIT,L,3,5,9,5,25.5,N,"20,633",1,37,69,0.349056604,-1,200,-25.5,15,684.6,3.6,4.6,9.3,191.5,27.1
56,"Wednesday, Aug 3 2016",Wednesday,Aug,PIT,W,8,4,9,5,25.5,N,"19,281",1,38,69,0.355140187,1,205,-25.5,15,684.6,3.4,4.4,9,187,25.6
57,"Thursday, Aug 4 2016",Thursday,Aug,PIT,W,5,2,9,5,25,N,"20,527",1,39,69,0.361111111,2,175,-25,15,684.6,3.3,4.7,9,192.7,25.6
58,"Tuesday, Aug 16 2016",Tuesday,Aug,MIN,L,2,4,9,5,26.5,N,"17,611",1,44,75,0.369747899,-3,208,-26.5,11,1130,3.6,4.4,9,192.3,25.5
59,"Wednesday, Aug 17 2016",Wednesday,Aug,MIN,L,3,10,9,5,26.5,N,"19,304",1,44,76,0.366666667,-4,204,-26.5,11,1130,3.6,3.7,9,192.3,27.9
60,"Thursday, Aug 18 2016",Thursday,Aug,WSN,L,2,8,9,5,27.5,N,"24,099",1,44,77,0.363636364,-5,212,-27.5,11,638.6,3.6,4.3,9,194.5,25.9
61,"Friday, Aug 19 2016",Friday,Aug,WSN,L,6,7,9,5,28.5,N,"30,292",1,44,78,0.360655738,-6,216,-28.5,11,638.6,3.7,5.1,9,195.5,25.4
62,"Saturday, Aug 20 2016",Saturday,Aug,WSN,L,9,11,9,5,29.5,N,"42,421",1,44,79,0.357723577,-7,206,-29.5,11,638.6,3.8,5.1,9,196.6,24.7
63,"Sunday, Aug 21 2016",Sunday,Aug,WSN,W-wo,7,6,10,5,28.5,D,"25,341",1,45,79,0.362903226,1,216,-28.5,11,638.6,4.5,6.1,9,200.9,18.4
64,"Tuesday, Aug 30 2016",Tuesday,Aug,SDP,W,7,3,9,5,28,N,"20,309",1,49,83,0.371212121,1,175,-28,10,2139.9,4.7,5.8,9.1,200.5,17.6
65,"Wednesday, Aug 31 2016",Wednesday,Aug,SDP,W,8,1,9,5,28,N,"20,899",1,50,83,0.37593985,2,202,-28,10,2139.9,5.2,6,9.1,201.7,20.7
66,"Thursday, Sep 1 2016",Thursday,Sep,SDP,W,9,6,9,5,27.5,D,"22,253",1,51,83,0.380597015,3,168,-27.5,10,2139.9,5.7,5.6,9.1,201.9,17.5
67,"Friday, Sep 9 2016",Friday,Sep,NYM,L,4,6,9,5,29,N,"28,225",1,54,87,0.382978723,-4,197,-29,11,864.2,5.8,5.8,9.1,198.2,19.2
69,"Sunday, Sep 11 2016",Sunday,Sep,NYM,L,3,10,9,5,30,D,"32,829",1,55,88,0.384615385,-1,176,-30,10,864.2,5.9,6.1,9.2,200,26.9
70,"Monday, Sep 12 2016",Monday,Sep,MIA,W,12,7,9,5,30,N,"18,271",1,56,88,0.388888889,1,215,-30,10,662.5,5.9,6.1,9.2,197.2,25.9
71,"Tuesday, Sep 13 2016",Tuesday,Sep,MIA,L,5,7,9,5,30,N,"20,125",1,56,89,0.386206897,-1,204,-30,10,662.5,6.9,6,9.2,197.5,25.9
72,"Wednesday, Sep 14 2016",Wednesday,Sep,MIA,L,5,7,9,5,31,N,"21,498",1,56,90,0.383561644,-2,184,-31,10,662.5,6.8,6,9.2,196.3,26.2
73,"Friday, Sep 16 2016",Friday,Sep,WSN,L,2,7,9,5,32,N,"33,618",1,56,91,0.380952381,-3,194,-32,10,638.6,6.4,5.6,9.2,194.1,26.2
74,"Saturday, Sep 17 2016",Saturday,Sep,WSN,W,7,3,9,5,31,D,"36,016",1,57,91,0.385135135,1,206,-31,10,638.6,5.9,5.7,9.1,191.9,26.1
75,"Sunday, Sep 18 2016",Sunday,Sep,WSN,W,6,2,7,5,30,D,"37,296",1,58,91,0.389261745,2,156,-30,10,638.6,5.9,5.7,9.1,195,25.1
76,"Tuesday, Sep 27 2016",Tuesday,Sep,PHI,W,7,6,9,5,27.5,N,"22,348",1,64,92,0.41025641,1,182,-27.5,12,778.3,5.7,5.8,8.9,190.4,20.4
77,"Wednesday, Sep 28 2016",Wednesday,Sep,PHI,W,12,2,9,5,26.5,N,"22,104",1,65,92,0.414012739,2,165,-26.5,12,778.3,5.5,5.8,8.9,191.8,22.1
78,"Thursday, Sep 29 2016",Thursday,Sep,PHI,W,5,2,9,5,26.5,N,"32,121",1,66,92,0.417721519,3,198,-26.5,12,778.3,6.3,5.4,8.9,188.6,19.6
79,"Friday, Sep 30 2016",Friday,Sep,DET,L,2,6,9,5,26.5,N,"41,500",1,66,93,0.41509434,-1,201,-26.5,12,722,6.4,5.3,8.8,188,25.6
80,"Saturday, Oct 1 2016",Saturday,Oct,DET,W,5,3,9,5,26.5,N,"40,124",1,67,93,0.41875,1,171,-26.5,12,722,6.3,4.9,8.8,190.5,25.7
82,"Friday, Apr 14 2017",Friday,Apr,SDP,W,5,2,9,4,3,N,"41,149",1,3,6,0.333333333,2,177,-3,21,2139.9,5.2,3.8,8.8,182.4,27.2
83,"Saturday, Apr 15 2017",Saturday,Apr,SDP,W,4,2,9,4,2,N,"41,149",1,4,6,0.4,3,140,-2,21,2139.9,5.2,3.3,8.8,181.7,27.6
84,"Sunday, Apr 16 2017",Sunday,Apr,SDP,W,9,2,9,4,1.5,D,"37,147",1,5,6,0.454545455,4,166,-1.5,23,2139.9,5.4,2.8,8.8,176.3,27.6
85,"Monday, Apr 17 2017",Monday,Apr,SDP,W-wo,5,4,9,4,1,N,"24,516",1,6,6,0.5,5,168,-1,23,2139.9,5.6,2.7,8.8,172.3,25.9
86,"Tuesday, Apr 18 2017",Tuesday,Apr,WSN,L,1,3,9,4,2,N,"21,834",1,6,7,0.461538462,-1,189,-2,23,638.6,5.5,2.9,9,173.5,29
87,"Wednesday, Apr 19 2017",Wednesday,Apr,WSN,L,4,14,9,4,3,N,"22,101",1,6,8,0.428571429,-2,212,-3,23,638.6,4.9,2.6,9,174.2,29.8
88,"Thursday, Apr 20 2017",Thursday,Apr,WSN,L,2,3,9,4,4,N,"27,498",1,6,9,0.4,-3,161,-4,23,638.6,4.1,3.8,9,178.9,29.2
89,"Monday, May 1 2017",Monday,May,NYM,L,5,7,9,5,6.5,N,"21,668",1,10,14,0.416666667,-2,180,-6.5,18,864.2,3.8,3.9,9,175.2,25.2
90,"Tuesday, May 2 2017",Tuesday,May,NYM,W,9,7,9,3,5.5,N,"21,359",1,11,14,0.44,1,175,-5.5,18,864.2,4.1,4,9,173.1,24.9
91,"Wednesday, May 3 2017",Wednesday,May,NYM,L,5,16,9,5,6.5,N,"22,656",1,11,15,0.423076923,-1,214,-6.5,18,864.2,4.5,4.4,9,173.5,25.7
92,"Friday, May 5 2017",Friday,May,STL,L,0,10,9,5,8,N,"34,465",1,11,16,0.407407407,-2,193,-8,18,554.9,4.9,6,9,178.2,28.3
93,"Saturday, May 6 2017",Saturday,May,STL,L,3,5,9,5,9,N,"40,706",1,11,17,0.392857143,-3,179,-9,18,554.9,4.4,6.8,9,179.8,27.7
94,"Sunday, May 7 2017",Sunday,May,STL,L,4,6,14,5,9,D,"40,200",1,11,18,0.379310345,-4,246,-9,13,554.9,4.3,7.1,9,183.7,29.7
95,"Wednesday, May 17 2017",Wednesday,May,TOR,W,8,4,9,2,8,N,"28,293",1,16,21,0.432432432,3,179,-8,18,951,3.8,7.5,9.5,191.7,30.2
96,"Thursday, May 18 2017",Thursday,May,TOR,L,0,9,9,2,8,N,"25,419",1,16,22,0.421052632,-1,182,-8,18,951,4.1,7.5,9.5,192.8,26.1
97,"Friday, May 19 2017",Friday,May,WSN,W,7,4,9,2,7,N,"35,369",1,17,22,0.435897436,1,212,-7,18,638.6,4,8.1,9.5,192.1,24.8
98,"Saturday, May 20 2017",Saturday,May,WSN,W,5,2,9,2,6,D,"37,347",1,18,22,0.45,2,200,-6,18,638.6,4.3,7.1,9.5,192.1,26.5
99,"Sunday, May 21 2017",Sunday,May,WSN,L,2,3,9,2,7,D,"32,895",1,18,23,0.43902439,-1,170,-7,20,638.6,4.6,7,9.5,196,23.2
100,"Monday, May 22 2017",Monday,May,PIT,W,5,2,9,2,6.5,N,"21,896",1,19,23,0.452380952,1,203,-6.5,20,684.6,4.3,6.6,9.5,195,25.2
101,"Tuesday, May 23 2017",Tuesday,May,PIT,W-wo,6,5,9,2,6.5,N,"25,040",1,20,23,0.465116279,2,183,-6.5,20,684.6,3.9,6.1,9.5,197.8,23.9
102,"Wednesday, May 24 2017",Wednesday,May,PIT,L,5,12,10,2,7.5,N,"25,981",1,20,24,0.454545455,-1,242,-7.5,20,684.6,4,5,9.5,194.7,24.3
103,"Thursday, May 25 2017",Thursday,May,PIT,L,4,9,9,2,7.5,D,"33,713",1,20,25,0.444444444,-2,161,-7.5,20,684.6,4.5,5.2,9.6,199.6,25.6
104,"Monday, Jun 5 2017",Monday,Jun,PHI,L,4,11,9,2,11.5,N,"20,942",1,24,31,0.436363636,-1,198,-11.5,19,778.3,4.6,5.6,9.6,197.8,26.3
105,"Tuesday, Jun 6 2017",Tuesday,Jun,PHI,L,1,3,9,2,12.5,N,"23,489",1,24,32,0.428571429,-2,162,-12.5,19,778.3,4.6,6.1,9.1,193,18.3
